t,count
1741054195,5
1741054196,5
1741054197,5
1741054198,5
1741054199,5
1741054200,5
1741054201,5
1741054202,5
1741054203,5
1741054204,5
1741054205,5
1741054206,5
1741054207,5
1741054208,6
1741054209,6
1741054210,6
1741054212,6
1741054213,7
1741054214,7
1741054215,7
1741054216,7
1741054217,7
1741054218,8
1741054219,10
1741054220,10
1741054221,10
1741054222,10
1741054223,11
1741054224,13
1741054225,13
1741054226,17
1741054227,32
1741054228,32
1741054229,33
1741054230,33
1741054231,33
1741054232,53
1741054233,76
1741054234,76
1741054235,104
1741054236,115
1741054236,115
1741054236,115
1741054236,115
