t,value
1741050102,13260000000
1741050104,14990000000
1741050105,15790000000
1741050106,16590000000
1741050107,17240000000
1741050108,18370000000
1741050109,19020000000
1741050110,19530000000
1741050111,20270000000
1741050112,21630000000
1741050113,22120000000
1741050114,22730000000
1741050115,23250000000
1741050116,24290000000
1741050117,26310000000
1741050118,27850000000
1741050119,28610000000
1741050120,29910000000
1741050121,31700000000
1741050122,32870000000
1741050123,33540000000
1741050124,34230000000
1741050125,37170000000
1741050126,38600000000
1741050127,39200000000
1741050128,40020000000
1741050129,41590000000
1741050130,42950000000
1741050131,44150000000
1741050132,45280000000
1741050133,47150000000
1741050134,50720000000
1741050135,57400000000
1741050136,58220000000
1741050137,59060000000
1741050138,60900000000
1741050139,62730000000
1741050140,70640000000
1741050141,79910000000
1741050142,84950000000
1741050143,87600000000
1741050143,87640000000
1741050143,88230000000
