t,value
1741049685,2004
1741049686,2004
1741049687,2004
1741049688,2004
1741049689,2004
1741049690,2004
1741049691,2004
1741049692,2004
1741049693,2004
1741049694,2004
1741049695,2004
1741049696,2004
1741049697,2004
1741049698,2004
1741049699,2004
1741049700,2004
1741049701,2004
1741049702,2004
1741049703,2004
1741049704,2004
1741049705,2004
1741049706,2004
1741049707,2004
1741049708,2004
1741049709,2004
1741049710,2004
1741049711,2004
1741049712,2004
1741049713,2004
1741049714,2004
1741049715,2004
1741049716,2004
1741049717,2004
1741049718,2004
1741049720,2004
1741049721,2004
1741049722,2004
1741049723,2004
1741049724,2003
1741049725,2003
1741049726,2003
1741049727,2003
1741049727,2003
1741049727,0
1741049727,0
