t,value
1741048015,0
1741048016,0
1741048017,0
1741048018,0
1741048019,0
1741048020,0
1741048021,0
1741048022,0
1741048023,0
1741048024,0
1741048025,149
1741048026,149
1741048027,149
1741048028,149
1741048029,149
1741048030,149
1741048031,149
1741048032,149
1741048033,149
1741048034,233
1741048035,233
1741048036,233
1741048037,233
1741048038,233
1741048039,233
1741048040,233
1741048041,233
1741048042,233
1741048043,233
1741048044,233
1741048045,233
1741048046,233
1741048047,233
1741048048,233
1741048049,233
1741048050,233
1741048051,233
1741048052,233
1741048053,233
1741048054,233
1741048054,233
1741048054,233
