t,value
1741048015,14030000000
1741048016,15620000000
1741048017,16360000000
1741048018,17120000000
1741048019,17820000000
1741048020,18850000000
1741048021,19450000000
1741048022,19980000000
1741048023,20870000000
1741048024,22200000000
1741048025,22730000000
1741048026,23220000000
1741048027,23700000000
1741048028,24660000000
1741048029,26790000000
1741048030,27750000000
1741048031,28530000000
1741048032,30150000000
1741048033,31690000000
1741048034,32750000000
1741048035,33370000000
1741048036,34080000000
1741048037,36490000000
1741048038,37870000000
1741048039,38700000000
1741048040,39080000000
1741048041,40470000000
1741048042,41480000000
1741048043,42490000000
1741048044,43700000000
1741048045,46500000000
1741048046,52470000000
1741048047,53180000000
1741048048,54320000000
1741048049,55850000000
1741048050,57290000000
1741048051,61770000000
1741048052,70410000000
1741048053,75300000000
1741048054,76800000000
1741048054,76830000000
1741048054,76980000000
