t,value
1741052157,0
1741052158,0
1741052159,0
1741052160,0
1741052161,0
1741052162,0
1741052163,0
1741052164,0
1741052165,0
1741052166,0
1741052167,0
1741052168,0
1741052169,0
1741052170,0
1741052171,0
1741052172,358450784
1741052173,358450784
1741052174,358450784
1741052175,358450784
1741052176,358450784
1741052177,358450784
1741052178,358450784
1741052179,358450784
1741052180,358450784
1741052181,358450784
1741052182,345529856
1741052183,345529856
1741052184,345529856
1741052185,345529856
1741052186,345529856
1741052187,345529856
1741052188,345529856
1741052189,345529856
1741052190,345529856
1741052191,345529856
1741052192,279397336
1741052193,279397336
1741052194,279397336
1741052195,279397336
1741052196,279397336
1741052196,279397336
1741052196,279397336
