t,value
1741054104,0
1741054105,0
1741054106,0
1741054107,0
1741054108,0
1741054109,0
1741054111,0
1741054112,0
1741054113,0
1741054114,0
1741054115,0
1741054116,0
1741054117,0
1741054118,0
1741054119,0
1741054120,0
1741054121,8193
1741054122,8193
1741054123,8193
1741054124,8193
1741054125,8193
1741054126,8193
1741054127,8193
1741054128,8193
1741054129,8193
1741054130,8193
1741054131,32769
1741054132,32769
1741054133,32769
1741054134,32769
1741054135,32769
1741054136,32769
1741054137,32769
1741054138,32769
1741054139,32769
1741054140,32769
1741054141,32769
1741054142,32769
1741054143,32769
1741054144,32769
1741054145,32769
1741054146,32769
1741054147,32769
1741054148,32769
1741054149,32769
1741054150,32769
1741054151,32769
1741054152,32769
1741054153,32769
1741054154,32769
1741054155,32769
1741054157,32769
1741054157,32769
1741054157,32769
1741054157,32769
