t,value
1741051115,0
1741051116,0
1741051117,0
1741051118,0
1741051119,0
1741051120,0
1741051121,0
1741051122,0
1741051123,0
1741051124,0
1741051125,120
1741051126,120
1741051127,120
1741051128,120
1741051129,120
1741051130,120
1741051131,120
1741051132,120
1741051133,120
1741051134,151
1741051135,151
1741051136,151
1741051137,151
1741051138,151
1741051139,151
1741051140,151
1741051141,151
1741051142,151
1741051143,151
1741051144,186
1741051145,186
1741051146,186
1741051147,186
1741051148,186
1741051149,186
1741051150,186
1741051151,186
1741051152,186
1741051153,186
1741051154,422
1741051155,422
1741051156,422
1741051157,422
1741051158,422
1741051159,422
1741051161,422
1741051161,422
1741051161,422
1741051161,422
