t,value
1741051115,0
1741051116,0
1741051117,0
1741051118,0
1741051119,0
1741051120,0
1741051121,0
1741051122,0
1741051123,0
1741051124,0
1741051125,8
1741051126,8
1741051127,8
1741051128,8
1741051129,8
1741051130,8
1741051131,8
1741051132,8
1741051133,8
1741051134,9
1741051135,9
1741051136,9
1741051137,9
1741051138,9
1741051139,9
1741051140,9
1741051141,9
1741051142,9
1741051143,9
1741051144,10
1741051145,10
1741051146,10
1741051147,10
1741051148,10
1741051149,10
1741051150,10
1741051151,10
1741051152,10
1741051153,10
1741051154,13
1741051155,13
1741051156,13
1741051157,13
1741051158,13
1741051159,13
1741051161,13
1741051161,13
1741051161,13
1741051161,13
