t,value
1741054452,0
1741054453,0
1741054454,0
1741054455,0
1741054456,0
1741054457,0
1741054458,0
1741054459,0
1741054460,0
1741054461,0
1741054462,0
1741054463,0
1741054464,8
1741054465,8
1741054466,8
1741054467,8
1741054468,8
1741054469,8
1741054470,8
1741054471,8
1741054472,8
1741054473,10
1741054474,10
1741054475,10
1741054476,10
1741054477,10
1741054478,10
1741054479,10
1741054480,10
1741054481,10
1741054482,10
1741054483,11
1741054484,11
1741054485,11
1741054486,11
1741054487,11
1741054488,11
1741054489,11
1741054491,11
1741054492,11
1741054493,14
1741054494,14
1741054495,14
1741054495,14
1741054495,14
1741054496,14
