t,value
1741052219,0
1741052220,0
1741052221,0
1741052222,0
1741052223,0
1741052224,0
1741052225,0
1741052226,0
1741052227,0
1741052228,0
1741052229,0
1741052230,268
1741052231,268
1741052232,268
1741052233,268
1741052234,268
1741052235,268
1741052236,268
1741052237,268
1741052238,268
1741052239,268
1741052240,399
1741052241,399
1741052242,399
1741052243,399
1741052244,399
1741052245,399
1741052246,399
1741052247,399
1741052248,399
1741052249,399
1741052250,431
1741052251,431
1741052252,431
1741052253,431
1741052254,431
1741052255,431
1741052256,431
1741052257,431
1741052258,431
1741052259,431
1741052260,721
1741052261,721
1741052262,721
1741052263,721
1741052264,721
1741052265,721
1741052267,721
1741052268,721
1741052269,721
1741052270,721
1741052271,1637
1741052271,1637
1741052271,1637
1741052271,1637
