t,value
1741048430,0
1741048431,0
1741048432,0
1741048433,0
1741048434,0
1741048435,0
1741048436,0
1741048437,0
1741048438,99233480
1741048439,99233480
1741048440,99233480
1741048441,99233480
1741048442,99233480
1741048443,99233480
1741048444,99233480
1741048445,99233480
1741048446,99233480
1741048447,99233480
1741048448,120270376
1741048449,120270376
1741048450,120270376
1741048451,120270376
1741048452,120270376
1741048453,120270376
1741048454,120270376
1741048455,120270376
1741048456,120270376
1741048457,120270376
1741048459,156393424
1741048460,156393424
1741048461,156393424
1741048462,156393424
1741048463,156393424
1741048464,156393424
1741048465,156393424
1741048466,156393424
1741048467,156393424
1741048468,156393424
1741048469,196461624
1741048470,196461624
1741048471,196461624
1741048472,196461624
1741048473,196461624
1741048474,196461624
1741048475,196461624
1741048475,196461624
1741048475,196461624
1741048475,196461624
