t,value
1741051830,0
1741051831,0
1741051832,0
1741051833,0
1741051834,0
1741051835,0
1741051836,0
1741051837,0
1741051838,0
1741051839,0
1741051840,0
1741051841,0
1741051842,0
1741051843,0
1741051844,0
1741051845,117
1741051846,117
1741051847,117
1741051848,117
1741051849,117
1741051850,117
1741051851,117
1741051852,117
1741051853,117
1741051854,149
1741051855,149
1741051857,149
1741051858,149
1741051859,149
1741051860,149
1741051861,149
1741051862,149
1741051863,149
1741051864,149
1741051865,184
1741051866,184
1741051867,184
1741051868,184
1741051869,184
1741051870,184
1741051871,184
1741051872,184
1741051873,184
1741051874,184
1741051874,431
1741051875,431
1741051875,431
