t,count
1741053978,0
1741053979,0
1741053980,0
1741053981,0
1741053982,0
1741053983,0
1741053984,0
1741053985,0
1741053986,0
1741053987,0
1741053988,0
1741053989,0
1741053990,0
1741053991,0
1741053992,0
1741053993,0
1741053994,0
1741053995,0
1741053996,0
1741053997,0
1741053998,0
1741053999,0
1741054000,0
1741054001,0
1741054002,0
1741054003,0
1741054004,0
1741054005,0
1741054006,0
1741054007,0
1741054008,0
1741054009,0
1741054010,0
1741054011,6006
1741054012,469314
1741054013,469314
1741054014,7156610
1741054015,7369742
1741054015,7369742
1741054015,7369742
