t,value
1741048891,0
1741048893,0
1741048894,0
1741048895,0
1741048896,0
1741048897,0
1741048898,0
1741048899,0
1741048900,0
1741048901,0
1741048902,0
1741048903,0
1741048904,0
1741048905,0
1741048906,0
1741048907,0
1741048908,0
1741048909,0
1741048910,148
1741048911,148
1741048912,148
1741048913,148
1741048914,148
1741048915,148
1741048916,148
1741048917,148
1741048918,148
1741048919,148
1741048920,246
1741048921,246
1741048922,246
1741048923,246
1741048924,246
1741048925,246
1741048926,246
1741048927,246
1741048928,246
1741048929,398
1741048930,398
1741048931,398
1741048932,398
1741048933,398
1741048934,398
1741048935,398
1741048935,398
1741048935,398
1741048936,398
