t,value
1741051766,0
1741051767,0
1741051768,0
1741051769,0
1741051770,0
1741051771,0
1741051772,0
1741051773,0
1741051774,0
1741051775,0
1741051776,0
1741051777,0
1741051778,8
1741051779,8
1741051780,8
1741051781,8
1741051782,8
1741051783,8
1741051784,8
1741051785,8
1741051786,8
1741051787,8
1741051789,10
1741051790,10
1741051791,10
1741051792,10
1741051793,10
1741051794,10
1741051795,10
1741051796,10
1741051797,10
1741051798,10
1741051799,13
1741051800,13
1741051801,13
1741051802,13
1741051803,13
1741051804,13
1741051805,13
1741051806,13
1741051807,13
1741051807,13
1741051807,13
1741051807,13
