t,value
1741049389,0
1741049390,0
1741049391,0
1741049392,0
1741049393,0
1741049394,0
1741049395,0
1741049396,0
1741049397,0
1741049398,0
1741049399,0
1741049400,0
1741049401,0
1741049402,0
1741049403,0
1741049404,0
1741049405,122478648
1741049406,122478648
1741049407,122478648
1741049408,122478648
1741049409,122478648
1741049410,122478648
1741049411,122478648
1741049412,122478648
1741049413,122478648
1741049414,122478648
1741049415,165074584
1741049416,165074584
1741049417,165074584
1741049418,165074584
1741049419,165074584
1741049420,165074584
1741049421,165074584
1741049422,165074584
1741049423,165074584
1741049425,165074584
1741049426,205709224
1741049427,205709224
1741049428,205709224
1741049429,205709224
1741049430,205709224
1741049430,205709224
1741049430,205709224
1741049430,205709224
