t,value
1741049816,0
1741049817,0
1741049818,0
1741049819,0
1741049820,0
1741049821,0
1741049822,0
1741049823,0
1741049824,0
1741049825,0
1741049826,0
1741049827,0
1741049828,0
1741049829,0
1741049830,0
1741049831,0
1741049832,0
1741049833,0
1741049834,0
1741049835,0
1741049836,0
1741049837,2345
1741049838,2345
1741049839,2345
1741049840,2345
1741049841,2345
1741049842,2345
1741049843,2345
1741049844,2345
1741049845,2345
1741049846,2345
1741049847,2345
1741049848,67881
1741049849,161585
1741049850,161585
1741049851,3715785
1741049852,21738185
1741049854,21738185
1741049855,27214492
1741049856,48908017
1741049857,72999819
1741049858,81612360
1741049859,103256213
1741049860,130155369
1741049861,154296323
1741049862,163021337
1741049863,163021337
1741049864,163021337
1741049864,163021337
1741049864,163021337
